code,name,date,cards,usd,eur
CRI,Chaos Rising,22 May 26,122,1000.48,720.56
POR,Perfect Order,27 Mar 26,124,830.03,703.73
ASC,Ascended Heroes,30 Jan 26,295,7724.57,6092.94
PFL,Phantasmal Flames,14 Nov 25,130,1478.78,1370.61
MEG,Mega Evolution,26 Sep 25,188,1835.74,1528.07
MEE,Mega Evolution Energy,25 Sep 25,8,1.42,0.3
MEP,Mega Evolution Promos,,51,1164.31,1202.81
BLK,Black Bolt,18 Jul 25,172,3539.43,2732.5
WHT,White Flare,18 Jul 25,173,3153.76,2516.46
DRI,Destined Rivals,30 May 25,244,2231.92,2298.96
JTG,Journey Together,28 Mar 25,190,578.96,509.52
PRE,Prismatic Evolutions,17 Jan 25,180,5270.18,3955.56
SSP,Surging Sparks,08 Nov 24,252,1409.65,1216.1
SCR,Stellar Crown,13 Sep 24,175,706.93,474.55
SFA,Shrouded Fable,02 Aug 24,99,955.72,572.0
TWM,Twilight Masquerade,24 May 24,226,1468.18,976.88
TEF,Temporal Forces,22 Mar 24,218,1370.97,897.52
PAF,Paldean Fates,26 Jan 24,245,2980.74,1957.22
PAR,Paradox Rift,03 Nov 23,266,1281.14,858.6
MEW,Pokemon 151,22 Sep 23,207,2328.24,2251.05
OBF,Obsidian Flames,11 Aug 23,230,545.86,376.4
PAL,Paldea Evolved,09 Jun 23,279,2114.82,1270.88
SVI,Scarlet & Violet,31 Mar 23,258,883.6,591.01
SVE,SV Energy,30 Mar 23,24,3.56,0.81
SVP,SV Promos,,217,2852.7,1641.81
CRZ,Crown Zenith,20 Jan 23,230,3051.0,2976.31
SIT,Silver Tempest,11 Nov 22,245,1546.98,1301.06
LOR,Lost Origin,09 Sep 22,247,2065.66,2078.29
PGO,Pokemon GO,01 Jul 22,88,395.48,366.5
ASR,Astral Radiance,27 May 22,246,1352.48,1138.45
BRS,Brilliant Stars,25 Feb 22,224,1614.28,1271.76
FST,Fusion Strike,12 Nov 21,284,2312.84,1957.22
CEL,Celebrations,08 Oct 21,50,739.46,975.02
EVS,Evolving Skies,27 Aug 21,237,7876.27,7174.98
CRE,Chilling Reign,18 Jun 21,233,2012.34,1698.58
BST,Battle Styles,19 Mar 21,183,841.97,658.54
SHF,Shining Fates,19 Feb 21,195,723.09,563.59
VIV,Vivid Voltage,13 Nov 20,203,568.12,557.19
CPA,Champion's Path,25 Sep 20,80,572.01,546.06
DAA,Darkness Ablaze,14 Aug 20,201,271.16,283.28
RCL,Rebel Clash,01 May 20,209,499.56,428.01
SSH,Sword & Shield,07 Feb 20,224,538.94,496.2
SP,SWSH Promos,,292,2665.54,2742.39
CEC,Cosmic Eclipse,01 Nov 19,271,5937.13,5060.67
HIF,Hidden Fates,23 Aug 19,163,3619.55,2917.82
UNM,Unified Minds,02 Aug 19,258,4251.9,3084.61
UNB,Unbroken Bonds,03 May 19,234,3622.9,2924.15
DET,Detective Pikachu,29 Mar 19,18,70.58,58.11
TEU,Team Up,01 Feb 19,205,9194.5,6899.96
LOT,Lost Thunder,02 Nov 18,236,2461.74,1764.2
DRM,Dragon Majesty,07 Sep 18,78,669.68,693.46
CES,Celestial Storm,03 Aug 18,183,1681.45,1334.69
FLI,Forbidden Light,04 May 18,146,1208.66,919.69
UPR,Ultra Prism,02 Feb 18,173,2016.78,1188.5
CIN,Crimson Invasion,03 Nov 17,124,468.41,412.06
SLG,Shining Legends,06 Oct 17,78,1291.63,881.93
BUS,Burning Shadows,04 Aug 17,169,1428.9,1002.3
GRI,Guardians Rising,05 May 17,169,963.52,576.1
SUM,Sun & Moon,03 Feb 17,172,632.07,488.21
SMP,SM Promos,,248,6759.68,6435.53
EVO,Evolutions,02 Nov 16,113,808.97,1012.93
STS,Steam Siege,03 Aug 16,116,412.44,422.81
FCO,Fates Collide,02 May 16,125,775.05,826.61
GEN,Generations,22 Feb 16,115,1712.99,763.5
BKP,BREAKpoint,03 Feb 16,123,929.81,902.78
BKT,BREAKthrough,04 Nov 15,164,1227.87,1332.13
AOR,Ancient Origins,12 Aug 15,100,2935.62,2180.02
ROS,Roaring Skies,06 May 15,110,1373.07,1034.47
DCR,Double Crisis,25 Mar 15,34,1023.52,966.76
PRC,Primal Clash,04 Feb 15,164,1695.33,1457.73
PHF,Phantom Forces,05 Nov 14,122,2746.61,1793.14
FFI,Furious Fists,13 Aug 14,113,854.66,598.74
FLF,Flashfire,07 May 14,109,2217.81,1145.15
XY,XY,05 Feb 14,146,725.08,505.65
KSS,Kalos Starter Set,08 Nov 13,39,98.51,104.96
XYP,XY Promos,,211,8026.45,5693.65
LTR,Legendary Treasures,06 Nov 13,140,1932.06,1690.11
PLB,Plasma Blast,14 Aug 13,105,2210.48,1211.07
PLF,Plasma Freeze,08 May 13,122,3624.19,1813.76
PLS,Plasma Storm,06 Feb 13,138,3282.35,1762.59
BCR,Boundaries Crossed,07 Nov 12,153,2767.86,1029.02
DRV,Dragon Vault,05 Oct 12,21,233.96,159.95
DRX,Dragons Exalted,15 Aug 12,128,2724.72,1527.54
DEX,Dark Explorers,09 May 12,111,3192.37,1048.12
NXD,Next Destinies,08 Feb 12,103,2001.43,644.02
NVI,Noble Victories,16 Nov 11,102,764.14,231.85
EPO,Emerging Powers,31 Aug 11,98,110.13,50.81
BLW,Black & White,25 Apr 11,115,484.14,416.29
BWP,BW Promos,,101,5505.46,2482.8
CL,Call of Legends,09 Feb 11,106,4888.64,3378.24
TM,Triumphant,03 Nov 10,103,2053.46,1070.31
UD,Undaunted,18 Aug 10,91,2424.95,711.78
UL,Unleashed,12 May 10,96,1681.12,625.87
HS,HeartGold SoulSilver,10 Feb 10,124,2184.38,764.12
HSP,HGSS Promos,,25,1547.24,691.59
RM,Pokemon Rumble,02 Dec 09,16,3854.51,2312.73
AR,Arceus,04 Nov 09,111,1780.74,874.34
SV,Supreme Victors,19 Aug 09,153,2768.04,1027.84
RR,Rising Rivals,20 May 09,120,3302.11,1024.69
P9,POP Series 9,01 Mar 09,17,164.77,110.2
PL,Platinum,11 Feb 09,133,1481.57,498.45
SF,Stormfront,05 Nov 08,106,1850.03,548.26
P8,POP Series 8,01 Sep 08,17,128.04,51.79
LA,Legends Awakened,20 Aug 08,146,1529.6,629.4
MD,Majestic Dawn,21 May 08,100,1699.95,706.82
P7,POP Series 7,01 Mar 08,17,194.0,79.0
GE,Great Encounters,13 Feb 08,106,997.68,323.31
SW,Secret Wonders,07 Nov 07,132,1008.58,320.07
P6,POP Series 6,01 Sep 07,17,393.05,174.06
MT,Mysterious Treasures,22 Aug 07,124,740.86,318.13
DP,Diamond & Pearl,23 May 07,130,803.58,247.95
DPP,DP Promos,,56,3034.34,1425.86
P5,POP Series 5,01 Mar 07,17,2555.56,12035.93
PK,Power Keepers,14 Feb 07,108,6267.0,2813.46
DF,Dragon Frontiers,08 Nov 06,101,10431.27,6269.38
CG,Crystal Guardians,30 Aug 06,100,4352.41,3260.7
P4,POP Series 4,01 Aug 06,17,1653.96,1009.13
HP,Holon Phantoms,03 May 06,111,8197.2,6266.13
P3,POP Series 3,01 Apr 06,17,638.34,395.92
LM,Legend Maker,13 Feb 06,93,4502.9,3368.5
DS,Delta Species,31 Oct 05,114,7764.46,4207.48
UF,Unseen Forces,22 Aug 05,143,8843.26,6009.7
